timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
926937020;-3.4924597e-08;4.0978193e-08;-2.9802322e-08;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
927134580;1.4901161e-08;5.2154064e-08;0.10261786;0.0;0.0;0.0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
927337015;-5.9604645e-08;-1.4901161e-08;0.16444156;0.0;0.0;0.0;0;0;1;0;0;0;-2;2;2;2;2;2;2;2;2;2;2;2;2
927534946;-7.450581e-09;1.4901161e-08;0.033174634;0.0;0.0;2.9802322e-08;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
927732888;-2.8871e-08;1.4901161e-08;-2.9802322e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
927930869;-2.9802322e-08;-1.4901161e-08;0.0910178;0.0;0.0;0.0;0;0;1;0;0;0;-2;2;2;2;2;2;2;2;2;2;2;2;2
928134761;2.9802322e-08;-2.9802322e-08;0.27556765;0.0;0.0;0.0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
928337198;-2.0489097e-08;2.2351742e-08;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
928535134;0.0;-1.4901161e-08;0.031253904;0.0;0.0;0.0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
928733118;-2.0489097e-08;2.2351742e-08;-2.9802322e-08;0.0;0.0;2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
928931010;-7.450581e-09;2.2351742e-08;-1.4901161e-08;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
929134946;3.7252903e-09;0.0;-1.4901161e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
929331386;7.450581e-09;0.0;0.0;0.0;0.0;-5.9604645e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
929535411;1.3038516e-08;0.0;0.0;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
