timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;gear_switch;transition_switch;photo_switch;video_switch;payload_power_switch;engage_main_motor_switch
780980352;780956702;7;0;0;0;0;0;3;0;0;0;0;0;0
781992418;781968896;7;0;0;0;0;0;3;0;0;0;0;0;0
783004692;782981111;7;0;0;0;0;0;3;0;0;0;0;0;0
784016789;783993256;7;0;0;0;0;0;3;0;0;0;0;0;0
785028978;785005434;7;0;0;0;0;0;3;0;0;0;0;0;0
786041180;786017704;7;0;0;0;0;0;3;0;0;0;0;0;0
787053429;787029801;7;0;0;0;0;0;3;0;0;0;0;0;0
788065506;788041984;7;0;0;0;0;0;3;0;0;0;0;0;0
789077712;789054198;7;0;0;0;0;0;3;0;0;0;0;0;0
790089953;790066354;7;0;0;0;0;0;3;0;0;0;0;0;0
791102044;791078561;7;0;0;0;0;0;3;0;0;0;0;0;0
792114281;792090715;7;0;0;0;0;0;3;0;0;0;0;0;0
793126428;793102920;7;0;0;0;0;0;3;0;0;0;0;0;0
794138643;794115093;7;0;0;0;0;0;3;0;0;0;0;0;0
795150803;795127287;7;0;0;0;0;0;3;0;0;0;0;0;0
796163121;796139444;7;0;0;0;0;0;3;0;0;0;0;0;0
797175149;797151736;7;0;0;0;0;0;3;0;0;0;0;0;0
798187388;798163819;7;0;0;0;0;0;3;0;0;0;0;0;0
799199557;799175997;7;0;0;0;0;0;3;0;0;0;0;0;0
800211730;800188179;7;0;0;0;0;0;3;0;0;0;0;0;0
801223961;801200385;7;0;0;0;0;0;3;0;0;0;0;0;0
802236058;802212545;7;0;0;0;0;0;3;0;0;0;0;0;0
803248310;803224729;7;0;0;0;0;0;3;0;0;0;0;0;0
804260531;804236913;7;0;0;0;0;0;3;0;0;0;0;0;0
805272616;805249091;7;0;0;0;0;0;3;0;0;0;0;0;0
806284887;806261350;7;0;0;0;0;0;3;0;0;0;0;0;0
807297042;807273462;7;0;0;0;0;0;3;0;0;0;0;0;0
808309159;808285710;7;0;0;0;0;0;3;0;0;0;0;0;0
809321394;809297832;7;0;0;0;0;0;3;0;0;0;0;0;0
810333534;810310030;7;0;0;0;0;0;3;0;0;0;0;0;0
811345791;811322195;7;0;0;0;0;0;3;0;0;0;0;0;0
812357899;812334433;7;0;0;0;0;0;3;0;0;0;0;0;0
813370238;813346568;7;0;0;0;0;0;3;0;0;0;0;0;0
814382260;814358756;7;0;0;0;0;0;3;0;0;0;0;0;0
815394466;815370930;7;0;0;0;0;0;3;0;0;0;0;0;0
816406637;816383145;7;0;0;0;0;0;3;0;0;0;0;0;0
817418855;817395333;7;0;0;0;0;0;3;0;0;0;0;0;0
818431080;818407515;7;0;0;0;0;0;3;0;0;0;0;0;0
