timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ
1360239320;-0.009670937;-0.06774315;0.0086758
1360438753;-0.008225688;-0.070663124;0.008638807
1360638169;-0.0051789754;-0.06582189;0.008127402
1360842118;-0.005971625;-0.06886632;0.0077820024
1361041615;-0.007868375;-0.07040571;0.007894893
1361241017;-0.0077039762;-0.069657534;0.008677608
1361440848;-0.004353443;-0.069372654;0.00953124
1361639911;-0.0065250136;-0.067990005;0.009915733
1361839390;-0.0035878306;-0.066537306;0.010081522
1362038859;-0.0026429102;-0.06990001;0.009346822
1362238254;-0.010463767;-0.07022398;0.008713617
1362440705;-0.01137197;-0.067261636;0.00864619
1362640153;-0.010635766;-0.067364275;0.008659086
1362839604;-0.008010283;-0.06724492;0.009167227
1363040553;-0.006063188;-0.06750113;0.009543289
1363238547;-0.008560347;-0.06648006;0.009653714
1363439449;-0.00791258;-0.06898765;0.009873853
1363638897;-0.0067271544;-0.07102536;0.0099810995
1363841345;-0.008143426;-0.071380004;0.009667606
1364040842;-0.010876701;-0.071781464;0.009358565
1364240329;-0.010095047;-0.07285973;0.0095723905
1364439686;-0.008200994;-0.07384188;0.009840301
1364639145;-0.0068737725;-0.07442491;0.009484174
1364838583;-0.003577687;-0.073260084;0.00955041
1365041032;-0.002144537;-0.07468668;0.009516232
1365240524;-0.0022930212;-0.07474949;0.009388199
1365441430;-0.0037977824;-0.07301435;0.009307241
1365640880;-0.0014380977;-0.07164157;0.00917555
1365840376;-0.0006034077;-0.06907634;0.008881395
1366039774;-0.011123252;-0.06982349;0.008656484
1366239246;-0.009644031;-0.07188907;0.008528852
1366441669;-0.008079141;-0.0727999;0.008109154
1366641119;-0.013489272;-0.07132314;0.007970304
1366840566;-0.010859619;-0.073092096;0.007897047
1367040058;-0.011731811;-0.07276087;0.007549372
1367239465;-0.011465053;-0.07193698;0.007167059
1367438909;-0.007704125;-0.07159703;0.006841829
1367638356;-0.0063301385;-0.07181036;0.0065928507
1367842350;-0.008224174;-0.07228279;0.0069067176
1368041752;-0.00406842;-0.07200587;0.006875707
1368241201;-0.010627308;-0.06924097;0.0064012464
1368440649;-0.008842624;-0.066940546;0.0060894275
1368640177;-0.008341123;-0.07154912;0.0062246425
1368839593;-0.0082656;-0.07384761;0.0060643153
1369038991;-0.0074046687;-0.071752414;0.006062788
1369241439;-0.0074793175;-0.07412387;0.0056870687
1369440885;-0.0050179465;-0.072094254;0.00515535
1369640337;-0.014542615;-0.0696118;0.005393304
1369839786;-0.014205864;-0.0694631;0.0058199936
1370039277;-0.010126576;-0.068198554;0.0060529467
1370234266;-0.011344389;-0.06857806;0.0059146117
1370438573;-0.008975457;-0.068762906;0.005168829
1370642072;-0.0076946924;-0.067323215;0.005257712
1370841566;-0.006304537;-0.06879379;0.005461192
1371040970;-0.009101757;-0.06866917;0.0055070827
1371240416;-0.008148048;-0.06710302;0.0057799146
1371439868;-0.011730156;-0.067126475;0.0061392626
1371639311;-0.012017653;-0.06885265;0.0065314737
1371838814;-0.007910737;-0.06996372;0.006551724
1372041252;-0.0061132247;-0.07063605;0.0062395395
1372240655;-0.009554302;-0.0712397;0.006659165
1372441603;-0.012266856;-0.07183469;0.00688445
1372639552;-0.016254842;-0.07240281;0.0074525275
1372840498;-0.015633153;-0.071951635;0.00843165
1373038492;-0.010716729;-0.06978719;0.009409475
1373239394;-0.010109778;-0.07027168;0.009964912
1373438846;-0.0060768663;-0.07076112;0.0099934945
1373641286;-0.0015394314;-0.07019715;0.009435102
1373840780;-0.0030619453;-0.07046476;0.008171102
1374040181;0.0005825844;-0.075001925;0.0064970613
1374240008;0.0016130473;-0.071870424;0.005393289
1374439076;-0.0012548123;-0.07138728;0.005448812
1374638525;-0.0001452174;-0.0707993;0.005909617
1374841027;-0.001209698;-0.071412735;0.006822824
1375041916;-0.0065468694;-0.07718961;0.008092581
1375241412;-0.006343761;-0.076184966;0.009352032
1375440815;-0.006172396;-0.072481595;0.009946135
1375640309;-0.005291203;-0.07263817;0.009640133
1375839707;-0.0063098334;-0.073554456;0.009455672
1376037701;-0.0026960531;-0.07271871;0.009624447
1376241986;-0.005209613;-0.07595316;0.009925841
1376441048;-0.0060072695;-0.07461779;0.009889251
1376640496;-0.010611656;-0.07363221;0.009825254
1376839995;-0.012165252;-0.073993266;0.00976241
1377039390;-0.009565014;-0.07236673;0.009299434
1377238844;-0.007834642;-0.07394695;0.00923443
1377438289;-0.005053421;-0.072707154;0.009524031
1377642291;-0.0063684937;-0.07193999;0.009563494
1377841680;-0.00431318;-0.07142632;0.009405769
1378039675;-0.009670719;-0.068851456;0.009183479
1378240591;-0.013371176;-0.07002684;0.009516525
1378440019;-0.008567262;-0.06621805;0.009937089
1378639520;-0.009456459;-0.064858116;0.010035542
1378838916;-0.006298458;-0.06506407;0.009982584
1379038366;-0.0034577593;-0.06852027;0.009706435
1379240857;-0.006353634;-0.07332195;0.009261025
1379440257;-0.011348793;-0.07208716;0.008686184
1379639703;-0.012930645;-0.06868276;0.0088301925
1379839197;-0.01534055;-0.06943233;0.0096511515
1380038693;-0.012458189;-0.07181256;0.010146306
1380239547;-0.009145797;-0.07328861;0.009408375
1380441993;-0.007748378;-0.07475974;0.0083048
1380641512;-0.012507055;-0.07542021;0.007835231
1380840886;-0.0142664155;-0.072622284;0.007882036
1381040330;-0.014873528;-0.07164857;0.008151959
1381239782;-0.013460047;-0.074419856;0.008827555
1381439226;-0.011428275;-0.0766176;0.009365761
1381638720;-0.012549431;-0.07034495;0.010107107
1381841166;-0.010489202;-0.068868525;0.010225355
1382040570;-0.007973672;-0.070495926;0.0098998025
1382240014;-0.007487463;-0.067288496;0.009903646
1382439465;-0.007281329;-0.06672794;0.009825982
