timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;motor_stop_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
1297236615;9.313226e-10;7.450581e-09;-9.313226e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1297439073;-6.519258e-09;1.4901161e-08;-1.3387762e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1297637077;6.519258e-09;0.0;-6.519258e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1297834981;-1.21071935e-08;7.450581e-09;1.3969839e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1298038940;-1.8626451e-09;7.450581e-09;0.0;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1298236934;-4.656613e-09;-3.7252903e-09;9.313226e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1298439388;-4.656613e-10;0.0;-5.122274e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1298637293;1.3416866e-08;7.450581e-09;1.1641532e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1298835248;-4.9330993e-09;3.7252903e-09;-1.7695129e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1299039251;9.313226e-09;7.450581e-09;6.519258e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1299237158;-1.5832484e-08;2.2351742e-08;-5.5879354e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1299439613;8.265488e-09;7.450581e-09;3.7252903e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1299637565;6.519258e-09;1.4901161e-08;1.3038516e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1299835524;-1.6007107e-09;0.0;1.8626451e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1300039476;-1.8626451e-09;-3.7252903e-09;4.656613e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1300237432;3.7252903e-09;7.450581e-09;5.820766e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1300439883;1.3387762e-09;7.450581e-09;1.8626451e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1300638210;-3.7252903e-09;3.7252903e-09;-7.450581e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1300841789;4.656613e-10;7.450581e-09;-1.8626451e-08;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1301039746;-4.656613e-09;0.0;-8.381903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1301237700;2.3283064e-09;-7.450581e-09;-9.778887e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1301440175;1.5133992e-08;-7.450581e-09;-2.7939677e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1301638106;-9.313226e-10;0.0;9.778887e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1301836109;-2.0954758e-09;7.450581e-09;-2.4912879e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1302040012;9.313226e-10;7.450581e-09;-3.8417056e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1302238040;-9.313226e-10;7.450581e-09;-1.21071935e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1302440463;-5.820766e-09;-7.450581e-09;-6.519258e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1302638423;8.1490725e-09;0.0;1.3969839e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1302836329;1.0244548e-08;3.7252903e-09;4.7148205e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1303034284;-5.5879354e-09;0.0;-1.1175871e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1303238286;-1.5832484e-08;7.450581e-09;1.0244548e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1303440743;7.450581e-09;-7.450581e-09;-4.656613e-10;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1303638647;1.071021e-08;0.0;1.8626451e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1303836599;4.656613e-09;3.7252903e-09;-1.21071935e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1304040598;-3.7252903e-09;1.4901161e-08;3.7252903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1304238508;3.7252903e-09;-3.7252903e-09;1.071021e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1304436470;-2.7939677e-09;0.0;-3.259629e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1304638918;3.7252903e-09;1.1175871e-08;1.21071935e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1304836875;-1.8626451e-09;0.0;-1.1175871e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1305040824;-1.4086254e-08;7.450581e-09;-1.1175871e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1305238776;1.4901161e-08;3.7252903e-09;-1.1175871e-08;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1305436729;-3.958121e-09;7.450581e-09;4.656613e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1305639180;0.0;7.450581e-09;-9.313226e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1305837135;9.313226e-09;7.450581e-09;1.0244548e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1306035135;-3.7252903e-09;-7.450581e-09;-8.381903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1306239465;-2.7939677e-09;-3.7252903e-09;1.2340024e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1306436999;1.1175871e-08;1.4901161e-08;1.5366822e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1306639452;-7.683411e-09;7.450581e-09;-4.656613e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1306837459;-5.5879354e-09;7.450581e-09;-3.7252903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1307035360;3.7252903e-09;0.0;0.0;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1307239310;1.8626451e-09;0.0;-4.656613e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1307437309;9.313226e-10;7.450581e-09;-3.7252903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1307639766;2.0954758e-09;0.0;1.2572855e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1307837669;-1.1175871e-08;0.0;9.546056e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1308035623;1.8626451e-09;0.0;-4.1909516e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1308239622;9.895302e-09;7.450581e-09;-1.2572855e-08;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1308437530;3.7252903e-09;-7.450581e-09;-1.8626451e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1308633985;-3.7252903e-09;7.450581e-09;9.313226e-10;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1308837936;7.450581e-09;0.0;7.450581e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1309035892;9.313226e-10;-7.450581e-09;-7.450581e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1309239845;-1.8626451e-09;7.450581e-09;1.3038516e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1309437797;1.1641532e-09;7.450581e-09;-1.5832484e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1309640249;5.8789738e-09;-7.450581e-09;-1.4901161e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1309838583;-1.5832484e-08;1.4901161e-08;-1.21071935e-08;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1310036157;1.3038516e-08;0.0;2.7939677e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1310234160;2.7939677e-09;7.450581e-09;9.313226e-09;0.0;0.0;2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1310438101;-3.7252903e-09;7.450581e-09;-8.381903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1310640513;-3.7252903e-09;0.0;-3.7252903e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1310838470;2.7939677e-09;-7.450581e-09;3.259629e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1311036468;-5.5879354e-09;0.0;-1.8626451e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1311240380;1.071021e-08;0.0;-1.8626451e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1311438327;-4.656613e-09;1.4901161e-08;-3.7252903e-09;0.0;0.0;-2.9802322e-08;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1311634782;1.8626451e-09;7.450581e-09;1.1175871e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
1311838781;0.0;0.0;1.21071935e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
